Облать,Город/район,sum_amount
АНДИЖОН ВИЛОЯТИ,АНДИЖОН ШАХРИ,598000000.0
АНДИЖОН ВИЛОЯТИ,АНДИЖОН ТУМАНИ,480500000.0
АНДИЖОН ВИЛОЯТИ,ОЛТИНКУЛ ТУМАНИ,138000000.0
АНДИЖОН ВИЛОЯТИ,ХУЖАОБОД ТУМАНИ,105000000.0
АНДИЖОН ВИЛОЯТИ,ИЗБОСКАН ТУМАНИ,82000000.0
АНДИЖОН ВИЛОЯТИ,АСАКА ТУМАНИ,75000000.0
АНДИЖОН ВИЛОЯТИ,МАРХАМАТ ТУМАНИ,62000000.0
АНДИЖОН ВИЛОЯТИ,БУЛОКБОШИ ТУМАНИ,51000000.0
АНДИЖОН ВИЛОЯТИ,ЖАЛОЛКУДУК ТУМАНИ,41000000.0
АНДИЖОН ВИЛОЯТИ,КУРГОНТЕПА ТУМАНИ,38000000.0
АНДИЖОН ВИЛОЯТИ,УЛУГНОР ТУМАНИ,35000000.0
АНДИЖОН ВИЛОЯТИ,ПАХТАОБОД ТУМАНИ,26000000.0
НАМАНГАН ВИЛОЯТИ,НОРИН ТУМАНИ,20000000.0
АНДИЖОН ВИЛОЯТИ,ШАХРИХОН ТУМАНИ,18000000.0
АНДИЖОН ВИЛОЯТИ,БУСТОН ТУМАНИ,13000000.0
ФАРГОНА ВИЛОЯТИ,БУВАЙДА ТУМАНИ,12000000.0
АНДИЖОН ВИЛОЯТИ,БАЛИКЧИ ТУМАНИ,10000000.0
